companyName,employees,industry,linkedin_id,page,revenue,source_url,url
Vueling Airlines,4 mil+ empleados,Aeronáutica y aviación,27220,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/27220/
LLYC,"1,5 mil+ empleado",Servicios de relaciones públicas y comunicaciones,69279,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/69279/
Pepe Jeans London,"1,5 mil+ empleado",Industria textil y moda,39372,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/39372/
Barcelo Hotel Group,"8,5 mil+ empleados",Hostelería,41982,[2],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/41982/
ICEX,901 empleados,Desarrollo y comercio internacional,9472,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/9472/
BURGER KING® EMEA & APAC,740 empleados,Servicios de alimentos y bebidas,2858627,[2],5 mills. US$ - 10 mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/2858627/
Naturgy,4 mil+ empleados,Generación de energía eléctrica,11760319,[2],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/11760319/
Leadtech Group,795 empleados,Desarrollo de software,9434927,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/9434927/
idealista,1 mil+ empleado,Desarrollo de software,32440,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/32440/
Cabify,4 mil+ empleados,Desarrollo de software,2394728,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/2394728/
